description_text,link,data
Você sabia que a Petrobrás conquistou seu 4º Oscar da Indústria do Petróleo? -,https://news.google.com/read/CBMipAFBVV95cUxOUVNfZlBVWG12cXppMkZjeHNrMlhPRzNEQ2FmTHNZa0Faem5FN1lKQ2l6OTExaWZQeEtQMVIxdzNEYXZWelVSOWZPNUxYUi1yNkdjZDhvV00tT0tnNFE0YnF0YVo5UlF3T1BHbXJiRTFuOEFucUVQVmlrdkxkYnJrUm81VVhOV3JmXzUwcFotdmxBaUh5Tm9iYzNpTFh3NlctQWJ3dg?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Produção deve elevar lucro da Petrobras,https://news.google.com/read/CBMingFBVV95cUxOZFpZVVVUYVUyRFlRaUpNYVJRdndIQ2thVVM0TmVpcHBTVGcza2MwTVUtUGFjSHVNeTJlY1FQeFZfa0RfX000Z285LW1mQ2pxUDFzc2VCUU9GTFZkZHpBTWxjSWpYbzM5eHNNbUNjTkFRMy1WZEhpWkt0MHhZS2JOazdfNHVDUVdqZkNrbGw0eGhmZnJEbE1uLS0zaXpQd9IBrAFBVV95cUxPM0R1VmlPOFNJbHE0Q2FiVEwxZXVod1NnRHBIbmpEa2tHY0steXBRMFdvMTRHdlIzTlVaOEEtQW5FYnROa1JWYmhvMW9BSUhLOUxzajNZYk94ZXVuNE1MSzRaVEpRRHM1SURmSXpqSzdMTkpJcm9FZVRwUEVZTTlWNWg1MXFOU0FaaEM2VVdyeER3WDM0SWdvRXpRd1VKejdoMk83SF9iN000eDVz?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
"Justiça decide a favor de petroleiros, e Petrobras liga energia em prédio ocupado",https://news.google.com/read/CBMivgFBVV95cUxPVHlFVUdMeVFQNE1RM2Z4TlVYQmF5OFdrRjZjZGNTMHhEUDVtdFZ2N0NveUhISDJlQkF4U1RuM25mNHhtemt1RnJ1YnJCXzVVUXdLbkNyUzYtTHRFb0gwVHNEZjVXTU1Ea2tqUHR3VjhEcG5xUXJDcnFpNEltdWRaa1hfWWtJd0FiMDlHeG1tRzRTQjM4YUFWcUdjaVpGYWZlRjhvUVhIc0FJQ0JvX1JyWGVkUWpQSkNIaHZnUVBn?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Comperj: Petrobras paga indenização de R$ 50 milhões a cidades,https://news.google.com/read/CBMioAFBVV95cUxQZUJJOFlDdFhyNG51Ulh0bk9YU0V4RmFyMS1mVzFGWTducGpzSlc5ZGpJSTJrVTl2a0FkMXVraE1rZzZiNzFfSXgzQnlxeVZnSEFsb3BTcXVVLUJOLXJUWTVJT3l5NzlKRXYyam5ZeWZoTW5STVR3VHZJYzJJTUhTR0FReVBkaWhBNzFIUEdpZkZrdGhpTUlMSUFpX0xMdUJu0gGvAUFVX3lxTE11Ync1WG04TWxiUGV3MGg0akV2bUgtY0c1WTU2Yzk1NFR1OEVTZnFWWWZJMFBIVWJReXZGN2x1LUpobFR6LVlaWEpfMm1CZ0JTai1DSW5LOGgyV3lUUkpMUlZrcFZ5d0plNDhINWI4Y0NwNEE5LVV3TDlEWnF5bHB0S0RuVncxWlE2TVJZdnpLMld0dUJudW1zRTlMMW5KaURlM0tSVnc4NXFLSVNxdXM?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
"Argumento da Petrobras para fechar de fábrica ""é meramente contábil"", diz petroleiro",https://news.google.com/read/CBMiwgFBVV95cUxNOTM3aHZqaFVYeFZUR0tkb0t1LU9fOGJNMTg4eUZYWXI2anNaQWd2X0pvQXB6UGEtSFF4TTVYb3JnUE1wU3J2TFUyNXVyUE5ZWHF3WVV5c3Nsdm1MbW1qbEMwYTMtcDFFM1ZyVlVSQWREME5UckloSkVvS1ZCSFdUYUoyR3JMOXk0bGhPRW13UXZZRnY3UWFSVURLMXVabDJlZTA0YUI3NXNXNEZMWFltT1QtYlFDaGczSkRiNDZrSXk3UQ?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Lucro da Petrobras em 2019 é o maior da história das empresas de capital aberto,https://news.google.com/read/CBMizwFBVV95cUxQVVlibmN5QnNKNDBHWGJZQ1c4SjA1LXdOMnpEajRCLUUxbDczZXAxTHNHNm82MDEwemxtX1QzRHhlU2ZFQy1KdndCWHE1UGhMVHlhMWg1cnNWeDhuc3RicHdLYzUxZWM4eWdPVGJ5RFBXRmlvRjB5YUtLRlRYYTRoT05IcHo1YzF5MlNUUzhVT0tTZk90RWFiTE5YbUZoZE9yMjIyNkoxeXhXaFZaNVJkYUhXSHYtUFVXNXNRY2tSM1ZNVl9tYXZhRHYwaW0zSjjSAd4BQVVfeXFMTzd1R1ZKZjBHQjF4VTFtTXczb3FkQVU1dnpQOXRGcFRNMDZXamNKMlZMc2JwQnJsdk9xVmQ1dnJyeEIxSWRDYTJQRHc4Q1hwaC1hU0RlMUtjNkN1ckhocTRQV0FxdWEzZGktX2ZfWnVvZGZhT0VWTHF0RUVkRERET2tQTk14Zk5xS1huTk9abDlBUElZcDVLOXRQWC16UXZyMjhCQW1rMkNZTjVNOFZmX3dIUWMwbDhhNnlHMjB1YThBQjlQRTlsMmRabjMwRHBvY3IzN1ZURl9naXZ1dnVn?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
"Sem negociação com a empresa, servidores da Petrobras recorrem ao Congresso Nacional",https://news.google.com/read/CBMixAFBVV95cUxQTVhna0tPUXhPZjZ0ck9lRVhoeWZjNHJtVzdNTGFQS01SSmFUNlJZR0VGaHVsRzAwcVJRRnRuS29rWFFycFFxSERLSGZyRnVBWWdqZHpJYXliTHpWdzFoQUI0VlZDUG9uYmY5UVVLZi1fX3VHaGRQTFN1S184MDhTYTlUU3g0YU9ZTTF0NGhOME1uUWpoRGlKYnJQaU9GbnpJbUpTNE0zQ1N6YzR1NEZjUFlSQVp2OXExM1Y3emR6MVJpNlhs?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Petrobras registra em 2019 o maior lucro de sua história,https://news.google.com/read/CBMioAFBVV95cUxNOUxKVEFhZHkyRTZOZjRYbzMySEpPRFV1bWhzcGlmb0NVSjdBX29OZFdNUzVDcmpMZVBkMmxMRU1nMmQ2QlllY3NMbWpBRlpacUhDMDF4X3hGZm1lYUlkYVZkQlJIanduLTlCZHBIZlJFcC1Fc0J4bF9KUmJvMGFNRHBVWG1hbUxsaVN4R01SZkZPSzUxRWVnVUhlUXBwV2pC0gGvAUFVX3lxTE1HNlVSYUYwSWJuNXU1MlIxTENXYW9FZWxYWmkwQWloSUZfMGRHY01ScXNBUC1TcUY4akpDc1BuYS1vNmlfdktHYkJLNzh2UXRNb05YMU9YbURHVlJzMUVWcWpQQ2JBNjJqYmpJdDZmMDJuX1hXYVFQTUFDSEdjSFozYzJycDA0aTdjbkNkMzd6VG01MllQR2o1Y043NEdXRmdidHRDWnhETTV6a3RhYUU?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Petrobras inicia processo de venda de sua participação na Gaspetro,https://news.google.com/read/CBMisAFBVV95cUxNQm5CVUtodUxtNlM2TFU2enowbjdTMExfZnh6am1lM0xDRHh3OWE1X1BFWWNVcV9Ib0F2MDFWblhCcFJvYVlSb1EyeEtxb19ueU1sYVo5M1h5VFk4R0xraE94X2VEdW9tQWtheTkzaDlfMWVzZmhIM3BYRVZyMnAyTU1OTWxjOTRsU1Nwbk82em05TDI5b0dHWUNKY1hic193a2Z4TTJUcUpHaG1SWXpOS9IBvwFBVV95cUxOaUM2ekRNM2dINzAxQS1vRXpuMGVmTWxIZVluRTNVV0ZTSGJDOEdtYjkyc0VkRXUyRXZ2S0tTVFE1OExuZlg1a1FPMzdrSDNqLTVXT0RmWXpMYmZGcmQ5M3RFSHBnNnpqdlNVRUlNOWJOR2dKZjFrc04zeGYxMkhScnM5enJyV1BtaTk1X0ZLYjhnY0xLbmNPWjE0MGtxYnRFNmFJc01XTEYwOEVPa2pJcGdpdy1ycEt1LVJ0NVlEZw?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Petrobras começa a demitir funcionários de fábrica de fertilizantes de Araucária nesta sexta-feira (14),https://news.google.com/read/CBMi-gFBVV95cUxPalI2NVZTSjNFSlhuWEFSZ1pVa3NqRndFWHNwVVk1cFdPQ1ROZUYxY1I5bWRrRWU1TEVycEkwekxraVJVRkJxdlpkMFpLVV9RS0d1bUlJdURqVi1ZWkhvMHlROTFqOHd2NFdNNXZhUWhVVzFXdTc0ZnBTSWlPVnFnb0hHYkgyU3hvMUlEMUx4T2h5eEVGRUJHY0J1eWhjWkFKeVFzYjRYbUQ3RURPMzRmTlV1SWJPVVY1NS1LZTdTdDR5amlZOG1tbzBpSWItSVF2N0VNRGJ4Zk1VWjEtSDg2bnpQNG1CVlNkSmt4Qk1MVXdldG1HRkNLempB0gGIAkFVX3lxTE9rU3pVSUtVQUo5Vld4NEdOa0loMXJqV3liT1hxdExhZTV3Vlk3OU5GWU5QcGpXZFNybjByR2JnWEpGZnJXb0szRFBRQTVadTRVOUd6LUtnZGVhMVd4VkdHd2JkMmNXdG9xSlAtRHZOdmU1WGpsbXdSWGhPS0xsU2lTaFIzcjU4cFBOVHFMeTIzWWg4Y0toeVdFcWpVVGVxaXlHdXRNb1hKeXdxd2ZBRnBwOVo5MXRCMWgwbmhaVXRxU1BZM005VndhMFNVYTZIOTJDZ2pHYWpINVRoRFV2bWpKdnhBS2JQTmhTX3JMVXVwQS1wR3hGcnprZHZtMVBvVGdBS202WUxRaA?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
